CODE,Modelo_letra,PVP_original,p_churn,riesgo,valor,segmento,tasa_respuesta,CLTV,accion,descripcion_accion,coste_efectivo_contacto,coste_efectivo_adicional,coste_efectivo_descuento,coste_efectivo_marketing,coste_accion,CLTV_con_accion,ganancia_cltv,ROI
SYN003741,J,34448,0.0324238,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3461.991865754315,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3532.475451604697,28.19343434015282,13.714736085674746
SYN001522,I,26002,0.026620511,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3414.3564303955136,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.6324000000000003,1.8324000000000003,3471.434226172198,22.831118310673812,11.459680370374269
SYN006074,I,28161,0.028301366,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3378.827042265126,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.6324000000000003,1.8324000000000003,3438.876237491185,24.019678090423625,12.1083159192445
SYN005084,I,23798,0.028933184,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3365.5729220437993,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.6324000000000003,1.8324000000000003,3426.721315960444,24.459357566657857,12.348263243100773
SYN002892,I,27310,0.029601691,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3351.6089027605753,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.6324000000000003,1.8324000000000003,3413.9098781887787,24.920390171281362,12.59986366038057
SYN009966,J,30246,0.03824677,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3339.1201343918933,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3419.2944613040054,32.06973076484483,15.737855305242599
SYN005386,J,30892,0.0408327,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3286.0441412922064,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3370.2680740466285,33.689573101768836,16.583284499879348
SYN001431,J,32990,0.040892407,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3284.829250226383,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3369.1448929174267,33.72625707641746,16.602430624434998
SYN000649,J,34133,0.04098584,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3282.929116723657,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3367.3881081509367,33.78359657091187,16.632357291707653
SYN006240,J,31208,0.04108054,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3281.004491849202,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3365.6085690255118,33.841630870523844,16.662646592131438
SYN004973,J,31208,0.041535884,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3271.7667379989643,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3357.065640736403,34.11956109497551,16.80770412055089
SYN009996,J,32990,0.04158846,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3270.701911947206,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3356.0807410762845,34.15153165163138,16.82439021483892
SYN005032,J,31208,0.04167626,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3268.9244514305533,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3354.4366213747553,34.204867977680806,16.852227545762425
SYN003731,J,33098,0.04176828,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3267.062722397499,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3352.714452413891,34.26069200655693,16.88136326020716
SYN004212,J,30892,0.041770596,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3267.015856433405,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3352.6710982928525,34.26209674377897,16.882096421596536
SYN005444,J,32990,0.041790716,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3266.6089361893382,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3352.294667322026,34.274292453075034,16.888461614339786
SYN002280,J,30892,0.041968305,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3263.019659198444,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3348.974106759115,34.381779024268326,16.944561077384304
SYN005201,J,33675,0.04208503,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3260.662796734254,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3346.793482060243,34.45227413039574,16.981353930269172
SYN002628,J,31208,0.042282987,MUY_BAJO,Alto,MUY_BAJO riesgo / Alto valor,0.4,3256.6698261353886,Upselling,Oferta ext. garantía / seguro batería,0.2,0.0,0.0,1.7160000000000004,1.9160000000000004,3343.0987072435323,34.571552443257495,17.043607747002863
