code,pvp,margen_relativo,margen_eur_negativo,coste_venta_no_impuestos,forma_pago,dias_desde_compra,tenure_days,days_last_service,en_garantia,ext_garantia_tiene,ext_garantia_financiera,garantia_dias_restantes,mantenimiento_gratuito,seguro_bateria_largo_plazo,sin_revisiones,revisiones,km_ultima_revision,km_medio_por_revision,encuesta_cliente_zona_taller,tiene_queja,lead_compra,fue_lead,frequency_total,ticket_avg,service_interval_mean_days,service_interval_std_days,edad,genero,renta_media_estimada,renta_desconocida,status_social,modelo,equipamiento,es_electrico,kw,zona
SYN009876,32916.0,0.25310487301008633,0,0.0,Contado,82,984.0,0,1,1,0,1378,0,1,1,0,0.0,0.0,89.0,0,0,0,1.0,10528.0,0.0,0.0,42,M,28175.0,0,G,I,Mid-High,0,106.0,CENTRO
SYN004421,30388.0,0.20370376464393838,0,1482.0,Financiera Marca,51,2110.0,0,1,1,1,1409,0,0,1,0,0.0,0.0,7.0,0,0,0,2.0,15181.0,1814.0,0.0,22,F,37630.0,0,A,I,High,0,106.0,ESTE
SYN008347,14814.0,0.01495544754961523,0,1635.0,Financiera Marca,82,1746.0,0,1,1,1,1378,0,0,1,0,0.0,0.0,86.0,0,0,0,1.0,11004.0,0.0,0.0,48,M,21332.0,0,I,I,High,0,117.0,CENTRO
SYN001098,33725.0,0.22494025203854706,0,956.0,Otros,41,1134.0,0,1,1,0,1419,0,0,1,0,0.0,0.0,0.0,0,0,0,1.0,11004.0,0.0,0.0,49,F,16446.0,0,K,B,Mid-High,0,85.0,NORTE
SYN002408,19732.0,0.09797790391242651,0,1402.0,Prestamo Bancario,41,415.0,0,1,0,0,1419,0,0,1,0,0.0,0.0,97.0,0,0,0,1.0,11004.0,0.0,0.0,42,M,23330.0,0,E,I,Mid-High,0,106.0,ESTE
SYN009885,27147.0,0.014490735624562566,0,0.0,Contado,76,907.0,0,1,1,0,1384,0,0,1,0,0.0,0.0,116.0,0,0,0,2.0,17671.0,128.0,0.0,28,M,29830.0,0,D,E,Mid,0,89.0,CENTRO
SYN006662,28480.0,-0.007549859550561798,1,640.0,Financiera Marca,72,841.0,0,1,0,0,1388,0,0,1,0,0.0,0.0,91.0,0,0,0,2.0,17351.0,187.0,0.0,35,M,33189.0,0,A,E,Mid,0,89.0,ESTE
SYN003182,25412.0,0.12467967889186211,0,1199.0,Contado,39,710.0,0,1,0,0,1421,0,0,1,0,0.0,0.0,115.0,0,0,0,3.0,16470.666666666668,321.5,57.27564927611035,56,M,0.0,1,Sin_dato,A,Mid-High,0,64.0,NORTE
SYN006264,20478.0,-0.05687420646547515,1,1400.0,Otros,32,1554.0,0,1,0,0,1428,0,0,1,0,0.0,0.0,99.0,0,0,0,2.0,13853.0,500.0,0.0,39,M,0.0,1,U,H,Mid,0,85.0,CENTRO
SYN009066,30330.0,0.20501252884932408,0,1439.0,Financiera Marca,29,1739.0,0,1,0,0,1431,1,0,1,0,0.0,0.0,112.0,0,0,0,2.0,24455.5,708.0,0.0,44,F,27838.0,0,B,B,Mid,0,81.0,ESTE
SYN002386,26885.0,0.19482685512367492,0,1521.0,Financiera Marca,79,435.0,0,1,1,1,1381,0,0,1,0,0.0,0.0,0.0,0,1,0,1.0,13433.0,0.0,0.0,32,F,33387.0,0,A,I,High,0,117.0,ESTE
SYN004245,33579.0,-0.06063849429703089,1,2582.0,Financiera Marca,34,1964.0,0,1,0,0,1426,1,0,1,0,0.0,0.0,0.0,0,0,0,1.0,13698.0,0.0,0.0,26,M,22518.0,0,I,I,Mid-High,0,106.0,CENTRO
