code,customer_id,sales_date,base_date,pvp,margen_relativo,margen_eur_negativo,coste_venta_no_impuestos,forma_pago,dias_desde_compra,garantia_dias_restantes,en_garantia,ext_garantia_tiene,ext_garantia_financiera,mantenimiento_gratuito,seguro_bateria_largo_plazo,days_last_service,sin_revisiones,revisiones,km_ultima_revision,km_medio_por_revision,encuesta_cliente_zona_taller,tiene_queja,lead_compra,fue_lead,frequency_total,tenure_days,ticket_avg,service_interval_mean_days,service_interval_std_days,edad,genero,renta_media_estimada,renta_desconocida,status_social,modelo,equipamiento,es_electrico,kw,zona
SYN009876,98788,2024-01-09,2023-12-31,32916.0,0.25310487301008633,0,0.0,Contado,-9,1469,1,1,0,0,1,0,1,0,0.0,0.0,89.0,0,0,0,1,984.0,10528.0,0.0,0.0,42,M,28175.0,0,G,I,Mid-High,0,106.0,CENTRO
SYN004421,45710,2024-02-09,2023-12-31,30388.0,0.20370376464393838,0,1482.0,Financiera Marca,-40,1500,1,1,1,0,0,0,1,0,0.0,0.0,7.0,0,0,0,2,2110.0,15181.0,1814.0,0.0,22,F,37630.0,0,A,I,High,0,106.0,ESTE
SYN008347,69631,2024-01-09,2023-12-31,14814.0,0.01495544754961523,0,1635.0,Financiera Marca,-9,1469,1,1,1,0,0,0,1,0,0.0,0.0,86.0,0,0,0,1,1746.0,11004.0,0.0,0.0,48,M,21332.0,0,I,I,High,0,117.0,CENTRO
SYN001098,35063,2024-02-19,2023-12-31,33725.0,0.22494025203854706,0,956.0,Otros,-50,1510,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,1,1134.0,11004.0,0.0,0.0,49,F,16446.0,0,K,B,Mid-High,0,85.0,NORTE
SYN002408,5032,2024-02-19,2023-12-31,19732.0,0.09797790391242651,0,1402.0,Prestamo Bancario,-50,1510,1,0,0,0,0,0,1,0,0.0,0.0,97.0,0,0,0,1,415.0,11004.0,0.0,0.0,42,M,23330.0,0,E,I,Mid-High,0,106.0,ESTE
SYN009885,44004,2024-01-15,2023-12-31,27147.0,0.014490735624562566,0,0.0,Contado,-15,1475,1,1,0,0,0,0,1,0,0.0,0.0,116.0,0,0,0,2,907.0,17671.0,128.0,0.0,28,M,29830.0,0,D,E,Mid,0,89.0,CENTRO
SYN006662,74245,2024-01-19,2023-12-31,28480.0,-0.007549859550561798,1,640.0,Financiera Marca,-19,1479,1,0,0,0,0,0,1,0,0.0,0.0,91.0,0,0,0,2,841.0,17351.0,187.0,0.0,35,M,33189.0,0,A,E,Mid,0,89.0,ESTE
SYN003182,4904,2024-02-21,2023-12-31,25412.0,0.12467967889186211,0,1199.0,Contado,-52,1512,1,0,0,0,0,0,1,0,0.0,0.0,115.0,0,0,0,3,710.0,16470.666666666668,321.5,57.27564927611035,56,M,0.0,1,Sin_dato,A,Mid-High,0,64.0,NORTE
SYN006264,19393,2024-02-28,2023-12-31,20478.0,-0.05687420646547515,1,1400.0,Otros,-59,1519,1,0,0,0,0,0,1,0,0.0,0.0,99.0,0,0,0,2,1554.0,13853.0,500.0,0.0,39,M,0.0,1,U,H,Mid,0,85.0,CENTRO
SYN009066,59804,2024-03-02,2023-12-31,30330.0,0.20501252884932408,0,1439.0,Financiera Marca,-62,1522,1,0,0,1,0,0,1,0,0.0,0.0,112.0,0,0,0,2,1739.0,24455.5,708.0,0.0,44,F,27838.0,0,B,B,Mid,0,81.0,ESTE
